,ID,SMILES,Ki,pKi,Assay Type,Target ChEMBL ID,Target Name,Document ChEMBL ID,Assay Description,Source ID,Source Description,Document Journal,Document Year,Molecular Weight,AlogP,bioactivity,bio_code
486,CHEMBL201530,C[C@H]1CN(CCc2ccccc2)[C@H](CCN)C[C@@]1(C)c1cccc(O)c1,780.0,6.11,B,CHEMBL233,Mu opioid receptor,CHEMBL1149448,Displacement of [3H]diprenorphine from human cloned mu opioid receptor,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,352.52,3.95,intermediate,1
487,CHEMBL201661,CCC[C@@H]1C[C@@](C)(c2cccc(O)c2)[C@@H](C)CN1CCCc1ccccc1,19.0,7.72,B,CHEMBL233,Mu opioid receptor,CHEMBL1149448,Displacement of [3H]diprenorphine from human cloned mu opioid receptor,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,365.56,5.79,active,2
488,CHEMBL201845,C[C@H]1CN(CCc2ccccc2)[C@H](CCNC(=O)c2ccccc2)C[C@@]1(C)c1cccc(O)c1,59.0,7.23,B,CHEMBL233,Mu opioid receptor,CHEMBL1149448,Displacement of [3H]diprenorphine from human cloned mu opioid receptor,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,456.63,5.42,active,2
489,CHEMBL202139,CCC[C@@H]1C[C@@](C)(c2cccc(O)c2)[C@@H](C)CN1CCC,430.0,6.37,B,CHEMBL233,Mu opioid receptor,CHEMBL1149448,Displacement of [3H]diprenorphine from human cloned mu opioid receptor,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,289.46,4.57,intermediate,1
490,CHEMBL202150,CCCCN1C[C@H](C)[C@](C)(c2cccc(O)c2)C[C@H]1CCC,550.0,6.26,B,CHEMBL233,Mu opioid receptor,CHEMBL1149448,Displacement of [3H]diprenorphine from human cloned mu opioid receptor,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,303.49,4.96,intermediate,1
491,CHEMBL202200,CCCCCN1C[C@H](C)[C@](C)(c2cccc(O)c2)C[C@H]1CCC,380.0,6.42,B,CHEMBL233,Mu opioid receptor,CHEMBL1149448,Displacement of [3H]diprenorphine from human cloned mu opioid receptor,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,317.52,5.35,intermediate,1
492,CHEMBL2022018,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](/C=C\c3ccoc3)C[C@]21C,2600.0,5.58,B,CHEMBL233,Mu opioid receptor,CHEMBL2021813,Displacement of [3H]DAMGO from human recombinant mu opioid receptor expressed in CHO cells after 2 hrs by liquid scintillation counting,1,Scientific Literature,Bioorg Med Chem,2012.0,458.51,3.34,inactive,0
493,CHEMBL2022019,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](C(=O)c3ccccc3)C[C@]21C,1490.0,5.83,B,CHEMBL233,Mu opioid receptor,CHEMBL2021813,Displacement of [3H]DAMGO from human recombinant mu opioid receptor expressed in CHO cells after 2 hrs by liquid scintillation counting,1,Scientific Literature,Bioorg Med Chem,2012.0,470.52,2.92,inactive,0
494,CHEMBL2022021,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](C(=O)c3cccc(OC)c3)C[C@]21C,3090.0,5.51,B,CHEMBL233,Mu opioid receptor,CHEMBL2021813,Displacement of [3H]DAMGO from human recombinant mu opioid receptor expressed in CHO cells after 2 hrs by liquid scintillation counting,1,Scientific Literature,Bioorg Med Chem,2012.0,500.54,2.93,inactive,0
495,CHEMBL2022293,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](C(=O)c3ccccc3O)C[C@]21C,3600.0,5.44,B,CHEMBL233,Mu opioid receptor,CHEMBL2021813,Displacement of [3H]DAMGO from human recombinant mu opioid receptor expressed in CHO cells after 2 hrs by liquid scintillation counting,1,Scientific Literature,Bioorg Med Chem,2012.0,486.52,2.62,inactive,0
496,CHEMBL2022298,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](C(=O)c3cccc(OC(F)(F)F)c3)C[C@]21C,4800.0,5.32,B,CHEMBL233,Mu opioid receptor,CHEMBL2021813,Displacement of [3H]DAMGO from human recombinant mu opioid receptor expressed in CHO cells after 2 hrs by liquid scintillation counting,1,Scientific Literature,Bioorg Med Chem,2012.0,554.51,3.82,inactive,0
497,CHEMBL2022299,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](C(=O)c3cccc(C(F)(F)F)c3)C[C@]21C,3400.0,5.47,B,CHEMBL233,Mu opioid receptor,CHEMBL2021813,Displacement of [3H]DAMGO from human recombinant mu opioid receptor expressed in CHO cells after 2 hrs by liquid scintillation counting,1,Scientific Literature,Bioorg Med Chem,2012.0,538.52,3.94,inactive,0
498,CHEMBL2022300,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](C(=O)c3ccco3)C[C@]21C,9800.0,5.01,B,CHEMBL233,Mu opioid receptor,CHEMBL2021813,Displacement of [3H]DAMGO from human recombinant mu opioid receptor expressed in CHO cells after 2 hrs by liquid scintillation counting,1,Scientific Literature,Bioorg Med Chem,2012.0,460.48,2.51,inactive,0
499,CHEMBL2022302,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](C(=O)c3ccsc3)C[C@]21C,2530.0,5.6,B,CHEMBL233,Mu opioid receptor,CHEMBL2021813,Displacement of [3H]DAMGO from human recombinant mu opioid receptor expressed in CHO cells after 2 hrs by liquid scintillation counting,1,Scientific Literature,Bioorg Med Chem,2012.0,476.55,2.98,inactive,0
500,CHEMBL202327,CCCCCCN1C[C@H](C)[C@](C)(c2cccc(O)c2)C[C@H]1CCC,47.0,7.33,B,CHEMBL233,Mu opioid receptor,CHEMBL1149448,Displacement of [3H]diprenorphine from human cloned mu opioid receptor,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,331.54,5.74,active,2
501,CHEMBL202352,CCCC[C@@H]1C[C@@](C)(c2cccc(O)c2)[C@@H](C)CN1CCc1ccccc1,110.0,6.96,B,CHEMBL233,Mu opioid receptor,CHEMBL1149448,Displacement of [3H]diprenorphine from human cloned mu opioid receptor,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,365.56,5.79,intermediate,1
502,CHEMBL202461,CCC[C@@H]1C[C@@](C)(c2cccc(O)c2)[C@@H](C)CN1C,520.0,6.28,B,CHEMBL233,Mu opioid receptor,CHEMBL1149448,Displacement of [3H]diprenorphine from human cloned mu opioid receptor,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,261.41,3.79,intermediate,1
503,CHEMBL202462,CCC[C@@H]1C[C@@](C)(c2cccc(O)c2)[C@@H](C)CN1CC,410.0,6.39,B,CHEMBL233,Mu opioid receptor,CHEMBL1149448,Displacement of [3H]diprenorphine from human cloned mu opioid receptor,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,275.44,4.18,intermediate,1
504,CHEMBL203150,C[C@H]1CN(CCc2ccccc2)[C@H](Cc2ccccc2)C[C@@]1(C)c1cccc(O)c1,290.0,6.54,B,CHEMBL233,Mu opioid receptor,CHEMBL1149448,Displacement of [3H]diprenorphine from human cloned mu opioid receptor,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,399.58,5.85,intermediate,1
505,CHEMBL203251,O=C(CCC(=O)Oc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(CC1CCC1)CC3)Oc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(CC1CCC1)CC3,0.16,9.8,B,CHEMBL233,Mu opioid receptor,CHEMBL1148605,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cells,1,Scientific Literature,J Med Chem,2006.0,705.0,8.69,highly_active,3
506,CHEMBL203307,C[C@@H]1C[C@@](C)(c2cccc(O)c2)[C@@H](C)CN1CCc1ccccc1,15.0,7.82,B,CHEMBL233,Mu opioid receptor,CHEMBL1149448,Displacement of [3H]diprenorphine from human cloned mu opioid receptor,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,323.48,4.62,active,2
507,CHEMBL203356,O=C1NCN(c2ccccc2)C12CCN(Cc1ccccc1)CC2,500.0,6.3,B,CHEMBL233,Mu opioid receptor,CHEMBL1139143,Displacement of [3H]diprenorphine from human mu opioid receptor expressed in CHO cell membrane,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,321.42,2.62,intermediate,1
508,CHEMBL2046467,COc1ccccc1CNc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3,1.2,8.92,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,416.61,5.78,highly_active,3
509,CHEMBL2048760,COc1ccccc1CNc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,2.7,8.57,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,430.64,6.17,highly_active,3
510,CHEMBL2048761,COc1cccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)c1,0.69,9.16,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,430.64,6.17,highly_active,3
511,CHEMBL2048762,COc1ccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)cc1,0.86,9.07,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,430.64,6.17,highly_active,3
512,CHEMBL2048763,Clc1ccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)cc1,1.7,8.77,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,435.06,6.81,highly_active,3
513,CHEMBL2048764,c1cc2c(cc1CNc1ccc3c(c1)[C@@]14CCCC[C@H]1[C@@H](C3)N(CC1CCC1)CC4)OCO2,0.34,9.47,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,444.62,5.89,highly_active,3
514,CHEMBL2048765,COc1cccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CC2)CC4)c1,0.51,9.29,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,416.61,5.78,highly_active,3
515,CHEMBL2048766,c1cc2c(cc1CNc1ccc3c(c1)[C@@]14CCCC[C@H]1[C@@H](C3)N(CC1CC1)CC4)OCO2,0.17,9.77,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,430.59,5.50,highly_active,3
516,CHEMBL2048767,O=[N+]([O-])c1cccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)c1,0.43,9.37,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,445.61,6.07,highly_active,3
517,CHEMBL2048768,Oc1ccccc1CNc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,1.7,8.77,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,416.61,5.86,highly_active,3
518,CHEMBL2048769,Oc1cccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)c1,0.32,9.49,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,416.61,5.86,highly_active,3
519,CHEMBL2048770,Oc1ccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)cc1,0.35,9.46,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,416.61,5.86,highly_active,3
520,CHEMBL2048771,Oc1ccccc1CNc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CC1)CC3,1.9,8.72,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,402.58,5.47,highly_active,3
521,CHEMBL2048772,Oc1cccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CC2)CC4)c1,0.16,9.8,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,402.58,5.47,highly_active,3
522,CHEMBL2048773,Oc1ccc(CNc2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CC2)CC4)cc1,0.28,9.55,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,402.58,5.47,highly_active,3
523,CHEMBL2048774,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(NCc2cccc(O)c2)cc13,0.42,9.38,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,362.52,4.69,highly_active,3
524,CHEMBL2048775,COc1ccccc1CN(C)c1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,14.0,7.85,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,444.66,6.19,active,2
525,CHEMBL2048776,COc1cccc(CN(C)c2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)c1,13.0,7.89,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,444.66,6.19,active,2
526,CHEMBL2048777,COc1ccc(CN(C)c2ccc3c(c2)[C@@]24CCCC[C@H]2[C@@H](C3)N(CC2CCC2)CC4)cc1,9.5,8.02,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,444.66,6.19,highly_active,3
527,CHEMBL2048778,CN(Cc1ccc(Cl)cc1)c1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,26.0,7.58,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,449.08,6.83,active,2
528,CHEMBL2048779,CN(Cc1cccc(O)c1)c1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,17.0,7.77,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,430.64,5.89,active,2
529,CHEMBL2048780,CN(Cc1ccc(O)cc1)c1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,3.2,8.49,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,430.64,5.89,highly_active,3
530,CHEMBL2048781,Oc1cccc(CNc2ccc3c(c2)C[C@@H]2[C@@H]4CCCC[C@]34CCN2CC2CC2)c1,150.0,6.82,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,402.58,5.47,intermediate,1
531,CHEMBL2048782,COc1ccccc1CNc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,8.5,8.07,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,404.51,3.11,highly_active,3
532,CHEMBL2048783,COc1cccc(CNc2ccc3c4c2O[C@H]2[C@@H](O)C=C[C@H]5[C@@H](C3)N(C)CC[C@@]452)c1,45.0,7.35,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,404.51,3.11,active,2
533,CHEMBL2048784,COc1ccc(CNc2ccc3c4c2O[C@H]2[C@@H](O)C=C[C@H]5[C@@H](C3)N(C)CC[C@@]452)cc1,60.0,7.22,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,404.51,3.11,active,2
534,CHEMBL2048785,CN1CC[C@]23c4c5ccc(NCc6ccccc6O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,13.0,7.89,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,390.48,2.81,active,2
535,CHEMBL2048786,CN1CC[C@]23c4c5ccc(NCc6cccc(O)c6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,7.0,8.15,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,390.48,2.81,highly_active,3
536,CHEMBL2048787,CN1CC[C@]23c4c5ccc(NCc6ccc(O)cc6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,44.0,7.36,B,CHEMBL233,Mu opioid receptor,CHEMBL2046406,Displacement of [3H]-DAMGO from human mu opioid receptor expressed in CHO cells after 60 mins by scintillation counting,1,Scientific Literature,J Med Chem,2012.0,390.48,2.81,active,2
537,CHEMBL2059381,O=C1/C(=C/c2ccc(F)cc2)C[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,20.9,7.68,B,CHEMBL233,Mu opioid receptor,CHEMBL4043100,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes by microbeta scintillation counting analysis,1,Scientific Literature,Bioorg Med Chem,2017.0,447.51,3.36,active,2
538,CHEMBL2059382,COc1ccc(/C=C2\C[C@@]3(O)[C@H]4Cc5ccc(O)c6c5[C@@]3(CCN4CC3CC3)[C@@H](O6)C2=O)cc1,5.16,8.29,B,CHEMBL233,Mu opioid receptor,CHEMBL4043100,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes by microbeta scintillation counting analysis,1,Scientific Literature,Bioorg Med Chem,2017.0,459.54,3.23,highly_active,3
539,CHEMBL2064130,Cc1ccccc1C1CCN(CCC(=O)N2c3ccccc3CC2C(=O)N(C)C)CC1,138.0,6.86,B,CHEMBL233,Mu opioid receptor,CHEMBL2062521,Displacement of [3H]DAMGO from human recombinant MOP receptor expressed in CHO-K1 cells after 45 mins by scintillation proximity assay,1,Scientific Literature,Eur J Med Chem,2012.0,419.57,3.61,intermediate,1
540,CHEMBL2064132,CCOc1ccccc1N1CCN(CCC(=O)N2c3ccccc3CC2C(=O)N(C)C)CC1,29.8,7.53,B,CHEMBL233,Mu opioid receptor,CHEMBL2062521,Displacement of [3H]DAMGO from human recombinant MOP receptor expressed in CHO-K1 cells after 45 mins by scintillation proximity assay,1,Scientific Literature,Eur J Med Chem,2012.0,450.58,2.64,active,2
541,CHEMBL2064133,CN(C)C(=O)C1Cc2ccccc2N1C(=O)CCN1CCN(c2ccccc2)CC1,397.0,6.4,B,CHEMBL233,Mu opioid receptor,CHEMBL2062521,Displacement of [3H]DAMGO from human recombinant MOP receptor expressed in CHO-K1 cells after 45 mins by scintillation proximity assay,1,Scientific Literature,Eur J Med Chem,2012.0,406.53,2.24,intermediate,1
542,CHEMBL2064134,CN(C)C(=O)C1Cc2ccccc2N1C(=O)CCN1CCN(c2cnccn2)CC1,235.0,6.63,B,CHEMBL233,Mu opioid receptor,CHEMBL2062521,Displacement of [3H]DAMGO from human recombinant MOP receptor expressed in CHO-K1 cells after 45 mins by scintillation proximity assay,1,Scientific Literature,Eur J Med Chem,2012.0,408.51,1.03,intermediate,1
543,CHEMBL2064139,CN(C)C(=O)C1Cc2ccccc2N1C(=O)CCN1CCC(c2ccccc2)CC1,502.0,6.3,B,CHEMBL233,Mu opioid receptor,CHEMBL2062521,Displacement of [3H]DAMGO from human recombinant MOP receptor expressed in CHO-K1 cells after 45 mins by scintillation proximity assay,1,Scientific Literature,Eur J Med Chem,2012.0,405.54,3.30,intermediate,1
544,CHEMBL2064145,Cc1ccccc1N1CCN(CCC(=O)N2c3ccccc3CC2C(=O)N(C)C)CC1,318.0,6.5,B,CHEMBL233,Mu opioid receptor,CHEMBL2062521,Displacement of [3H]DAMGO from human recombinant MOP receptor expressed in CHO-K1 cells after 45 mins by scintillation proximity assay,1,Scientific Literature,Eur J Med Chem,2012.0,420.56,2.55,intermediate,1
545,CHEMBL2064156,Cc1ccccc1C1CCN(CCC(=O)N2c3ccccc3C[C@H]2C(=O)N(C)C)CC1,67.2,7.17,B,CHEMBL233,Mu opioid receptor,CHEMBL2062521,Displacement of [3H]DAMGO from human recombinant MOP receptor expressed in CHO-K1 cells after 45 mins by scintillation proximity assay,1,Scientific Literature,Eur J Med Chem,2012.0,419.57,3.61,active,2
546,CHEMBL2064157,CN(C)C(=O)[C@@H]1Cc2ccccc2N1C(=O)CCN1CCC(c2ccccc2)CC1,80.7,7.09,B,CHEMBL233,Mu opioid receptor,CHEMBL2062521,Displacement of [3H]DAMGO from human recombinant MOP receptor expressed in CHO-K1 cells after 45 mins by scintillation proximity assay,1,Scientific Literature,Eur J Med Chem,2012.0,405.54,3.30,active,2
547,CHEMBL2064158,CN(C)C(=O)[C@@H]1Cc2ccccc2N1C(=O)CCN1CCC(c2ccc(F)cc2)CC1,238.0,6.62,B,CHEMBL233,Mu opioid receptor,CHEMBL2062521,Displacement of [3H]DAMGO from human recombinant MOP receptor expressed in CHO-K1 cells after 45 mins by scintillation proximity assay,1,Scientific Literature,Eur J Med Chem,2012.0,423.53,3.44,intermediate,1
548,CHEMBL2064159,Cc1cc(F)ccc1C1CCN(CCC(=O)N2c3ccccc3C[C@H]2C(=O)N(C)C)CC1,139.0,6.86,B,CHEMBL233,Mu opioid receptor,CHEMBL2062521,Displacement of [3H]DAMGO from human recombinant MOP receptor expressed in CHO-K1 cells after 45 mins by scintillation proximity assay,1,Scientific Literature,Eur J Med Chem,2012.0,437.56,3.75,intermediate,1
549,CHEMBL2064160,Cc1cccc(C)c1C1CCN(CCC(=O)N2c3ccccc3C[C@H]2C(=O)N(C)C)CC1,82.1,7.09,B,CHEMBL233,Mu opioid receptor,CHEMBL2062521,Displacement of [3H]DAMGO from human recombinant MOP receptor expressed in CHO-K1 cells after 45 mins by scintillation proximity assay,1,Scientific Literature,Eur J Med Chem,2012.0,433.6,3.92,active,2
550,CHEMBL2064161,CN(C)C(=O)[C@@H]1Cc2ccccc2N1C(=O)CCN1CC2CCC(C1)C2c1ccccc1,28.4,7.55,B,CHEMBL233,Mu opioid receptor,CHEMBL2062521,Displacement of [3H]DAMGO from human recombinant MOP receptor expressed in CHO-K1 cells after 45 mins by scintillation proximity assay,1,Scientific Literature,Eur J Med Chem,2012.0,431.58,3.55,active,2
551,CHEMBL206974,CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1,20.0,7.7,B,CHEMBL233,Mu opioid receptor,CHEMBL1145107,Binding affinity towards Opioid receptor mu 1 was determined,1,Scientific Literature,J Med Chem,2003.0,884.0,0.28,active,2
552,CHEMBL208683,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H]1Cc2ccccc2CN(CC(=O)NCc2ccccc2)C1=O,0.46,9.34,B,CHEMBL233,Mu opioid receptor,CHEMBL1138032,Binding affinity to mu opioid receptor,1,Scientific Literature,J Med Chem,2006.0,514.63,2.26,highly_active,3
553,CHEMBL208862,Clc1cccc2c(C3CCN(C4Cc5cccc6cccc4c56)CC3)c[nH]c12,260.0,6.58,B,CHEMBL233,Mu opioid receptor,CHEMBL1138891,Displacement of [3H]DAMGO from mu opioid receptor expressed in HEK293 cells,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,386.93,6.45,intermediate,1
554,CHEMBL209550,C[C@H]1C2Cc3ccc(C(=O)NCCc4ccccc4)cc3[C@@]1(C)CCN2CC1CC1,3.5,8.46,B,CHEMBL233,Mu opioid receptor,CHEMBL1146899,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cells,1,Scientific Literature,J Med Chem,2006.0,402.58,4.59,highly_active,3
555,CHEMBL210005,C[C@H]1[C@H]2Cc3ccc(C(=O)NCCc4ccc(-c5ccccc5)cc4)cc3[C@]1(C)CCN2CC1CC1,0.25,9.6,B,CHEMBL233,Mu opioid receptor,CHEMBL1146899,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cells,1,Scientific Literature,J Med Chem,2006.0,478.68,6.26,highly_active,3
